# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
1.899736e-05 9.930537e-06 2.549999e+00 5.250000e+00 0.000000e+00 6.000000e+00
1.694140e-05 9.578336e-06 2.549999e+00 5.750000e+00 0.000000e+00 6.000000e+00
2.339626e-05 9.964492e-06 2.549999e+00 6.250000e+00 0.000000e+00 6.000000e+00
3.529329e-05 1.036517e-05 2.549999e+00 6.750000e+00 0.000000e+00 6.000000e+00
4.578267e-05 1.053157e-05 2.549999e+00 7.250000e+00 0.000000e+00 6.000000e+00
4.558047e-05 1.070613e-05 2.549999e+00 7.750000e+00 0.000000e+00 6.000000e+00
4.591915e-05 1.083181e-05 2.549999e+00 8.250000e+00 0.000000e+00 6.000000e+00
4.751506e-05 1.108697e-05 2.549999e+00 8.750000e+00 0.000000e+00 6.000000e+00
5.421622e-05 1.170513e-05 2.549999e+00 9.250000e+00 0.000000e+00 6.000000e+00
6.341148e-05 1.163992e-05 2.549999e+00 9.750000e+00 0.000000e+00 6.000000e+00
7.155021e-05 1.181268e-05 2.549999e+00 1.025000e+01 0.000000e+00 6.000000e+00
6.812322e-05 1.236559e-05 2.549999e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.085983e-05 1.254172e-05 2.549999e+00 1.125000e+01 0.000000e+00 6.000000e+00
6.001578e-05 1.251383e-05 2.549999e+00 1.175000e+01 0.000000e+00 6.000000e+00
6.930308e-05 1.277974e-05 2.549999e+00 1.225000e+01 0.000000e+00 6.000000e+00
7.735613e-05 1.311280e-05 2.549999e+00 1.275000e+01 0.000000e+00 6.000000e+00
6.970033e-05 1.324015e-05 2.549999e+00 1.325000e+01 0.000000e+00 6.000000e+00
6.405381e-05 1.308378e-05 2.549999e+00 1.375000e+01 0.000000e+00 6.000000e+00
6.596211e-05 1.289670e-05 2.549999e+00 1.425000e+01 0.000000e+00 6.000000e+00
